P,Car,Driver,Lap,LapTime,Diff,Gap,Status,Speed,LSP,Team,Engine,Flag,S1,S1_OT,P2,P2_OT,L4,L4_OT,S2A,S2A_OT,S2,S2_OT,L5,L5_OT,L7,L7_OT,L3,L3_OT,S2B,S2B_OT,T2,T2_OT,S3A,S3A_OT,S3,S3_OT,S3B,S3B_OT,T3,T3_OT,S4A,S4A_OT,S4,S4_OT,PIC,PIC_OT,S4B,S4B_OT,L6,L6_OT,S5,S5_OT,P1,P1_OT,L2,L2_OT,ElapsedTime,GapOnTrack,LeaderLap,TOD,MinimumGap,MinGapOnStraight,Tire,OT_Remain,OT_Used,Track,Ambient,Humidity,Pressure,WindSpeed,WindDirection,WindChill,Brake,Throttle,
6,12,Will Power,2,79.9221,23.1890,2.6396,P,64.8631605025393,1,Team Penske,Chevy,G,,,59.5482110798547,False,,,,,,,18.1553,False,40.3389,False,,,8.5349,False,124.882813046581,False,3.18,False,5.9965,False,2.8165,False,148.792157778037,False,6.3839,False,,,100.320673704699,False,,,9.8032,False,,,13.8541791479091,False,39.5856,False,216.1148,1.582,3,13:32:14.794,1.582,1.582,P,0,0,77,71,82,29.33,2,E,0,0,0,
5,2,Josef Newgarden,2,76.9367,20.2036,4.3988,P,67.380066990136,1,Team Penske,Chevy,G,,,14.9814976281518,False,,,,,,,18.328,False,38.7794,False,,,8.5212,False,125.520364536454,False,3.1518,False,5.9082,False,2.7564,False,151.543450945767,False,6.187,False,,,111.790607118491,False,,,8.3562,False,,,58.9965753133424,False,35.8666,False,216.5802,0.4606,3,13:32:15.259,0.4606,0.4606,P,0,0,77,71,82,29.33,2,E,0,0,0,
8,8,Marcus Ericsson,1,223.3611,166.6280,143.4390,P,23.2090547548342,1,Chip Ganassi Racing,Honda,G,,,52.1546956765769,False,,,,,,,18.3394,False,46.573,False,,,8.5473,False,122.433021935059,False,3.3105,False,6.9442,False,3.6337,False,100.31696789857,False,9.3568,False,,,76.4266745659303,False,,,11.9326,False,,,2.62820228690536,False,175.7416,False,228.7888,12.1826,3,13:32:27.468,0.6419,0.6419,Po,0,0,77,71,82,29.33,2,E,0,0,0,
9,48,Tony Kanaan,1,230.9431,174.2100,7.5820,P,22.4470876159539,1,Chip Ganassi Racing,Honda,G,,,57.5417220171362,False,,,,,,,18.9717,False,49.8926,False,,,8.6836,False,108.689033672289,False,3.737,False,7.5199,False,3.7829,False,105.126151381658,False,9.9841,False,,,69.3897243048642,False,,,13.4169,False,,,2.55094509856615,False,180.7404,False,241.5291,7.6124,3,13:32:40.208,0.3238,0.3878,Po,0,0,77,71,82,29.33,2,E,0,0,0,
8,5,Pato O'Ward,1,190.3567,133.6240,110.4346,P,27.2330839944168,1,Arrow McLaren SP,Chevy,G,,,3.2012183247996,False,,,,,,,18.0391,False,39.3501,False,,,8.5556,False,120.308961501132,False,3.3542,False,6.4583,False,3.1041,False,130.801811440212,False,6.7805,False,,,109.664726392799,False,,,8.0722,False,,,59.2324571300327,False,169.3325,False,250.0068,8.476,3,13:32:48.686,1.1084,1.1084,P,0,0,77,71,82,29.33,2,E,0,0,0,
9,10,Alex Palou,1,211.7111,154.9780,21.3544,P,24.4861984090584,1,Chip Ganassi Racing,Honda,G,,,2.78782224095354,False,,,,,,,17.9882,False,39.4542,False,,,8.5321,False,124.614289105151,False,3.2161,False,6.0531,False,2.837,False,142.020590996611,False,6.6184,False,,,105.526421220692,False,,,8.7945,False,,,59.5255605974803,False,28.2348,False,274.4002,24.3895,3,13:33:13.079,3.5534,3.6755,P,0,0,77,71,82,29.33,2,E,0,0,0,
12,51,Pietro Fittipald,1,269.6827,212.9500,38.7396,P,19.2225901031101,1,Dale Coyne Racing w/Rick Ware Racing,Honda,G,,,51.6157622591264,False,,,,,,,18.9153,False,47.9849,False,,,8.6433,False,113.271483507418,False,3.6147,False,7.3397,False,3.725,False,106.63209835243,False,9.8692,False,,,74.7585359654325,False,,,11.8607,False,,,2.07466389056523,False,220.514,False,276.6498,2.243,3,13:33:15.329,1.0405,1.2774,Po,0,0,77,71,82,29.33,2,E,0,0,0,
1,8,Marcus Ericsson,2,56.0784,,,P,92.4420097577677,1,Chip Ganassi Racing,Honda,G,,,59.1839291338306,False,,,,,,,17.968,False,40.9028,False,,,8.5001,False,126.775568181818,False,3.1379,False,6.0543,False,2.9164,False,133.910486278864,False,7.2911,False,,,96.3022343100618,False,,,9.5894,False,,,59.5713439295191,False,15.1122,False,284.8672,8.2287,3,13:33:23.546,8.2287,8.2287,P,0,0,77,71,82,29.33,2,E,0,0,0,
6,2,Josef Newgarden,3,75.411,19.3326,2.8731,P,68.7432867883996,1,Team Penske,Chevy,G,,,16.1905844784982,False,,,,,,,18.4342,False,39.627,False,,,8.5395,False,123.891225586141,False,3.1919,False,6.0425,False,2.8506,False,147.359904897137,False,6.3609,False,,,107.281396108021,False,,,8.7894,False,,,59.6550601617827,False,33.8983,False,291.9912,7.1235,3,13:33:30.670,0.4606,0.4606,P,0,0,77,71,82,29.33,2,E,0,0,0,
3,48,Tony Kanaan,2,57.2291,1.1507,0.4960,P,90.5832871738329,1,Chip Ganassi Racing,Honda,G,,,59.8662690583172,False,,,,,,,18.2491,False,42.1693,False,,,8.605,False,113.525064553468,False,3.5158,False,6.596,False,3.0802,False,135.453027773562,False,7.2792,False,,,93.7693277194832,False,,,10.045,False,,,59.7916020270969,False,15.066,False,298.7582,6.7674,3,13:33:37.437,3.991,4.3804,P,0,0,77,71,82,29.33,2,E,0,0,0,
12,14,Sebastien Bourda,1,242.9021,186.8240,31.1910,P,21.3419315847825,1,AJ Foyt Enterprises,Chevy,G,,,2.33268488846582,False,,,,,,,18.1108,False,38.4649,False,,,8.6372,False,120.738636363636,False,3.2552,False,6.1045,False,2.8493,False,144.679678381533,False,6.337,False,,,114.18716018037,False,,,7.9126,False,,,59.3830400203477,False,1405.0712,False,301.4435,2.6855,3,13:33:40.123,1.7711,2.6855,P,0,0,77,71,82,29.33,2,E,0,0,0,
